experiment_name,run_uuid,run_name,status,function,model_arch,n_params,best_val_loss,final_test_loss,hessian_trace,critical_sharpness,grad_cosine_sim,grad_noise_scale,train_per_param
sweep-peaks-v3-ratio,466f70c6d02943d9b023ee46b8d6d072,trial062_siren_h20_l3_w22_lr5.9e-05_bs128,FINISHED,peaks_n20000_k3_ss5_seed42_train,siren,921.0,0.004149699117988348,0.004277462139725685,50631.390625,0.0016524137485692922,0.13571597635746002,0.005103842236928936,8.686210640608035
sweep-eggholder-v3-ratio,47a24e87afa04aa3889c1610f2821d23,trial167_mlp_h12_b2_relu_lr3.6e-03_bs64,FINISHED,eggholder_n20000_k3_ss7_seed42_train,mlp,673.0,20453.3203125,20300.306640625,122540408.0,0.05908091080312082,0.07375551015138626,143809395.72303286,11.887072808320951
sweep-ackley-v3-ratio,47ef1bb43e9e42f687addc64e2860249,trial071_fourier_h12_b2_f16_s1.8_lr1.7e-02_bs256,FINISHED,ackley_n20000_k3_ss5_seed42_train,fourier,1033.0,0.0598834753036499,0.06208502873778343,1046.507568359375,0.01247804602109694,-0.5115746259689331,0.0029884407476224004,7.744433688286544
sweep-levy-v3-ratio,498113f71d824b44822ffb560bfe6b40,trial002_fourier_h12_b2_f8_s3.6_lr3.1e-04_bs128,FINISHED,levy_n20000_k3_ss6_seed42_train,fourier,841.0,110.61677551269531,104.79901123046875,68885.34375,0.14924271328329358,0.05063602328300476,209.1209143408835,9.512485136741974
sweep-eggholder-v3-ratio,49fed042e0484c83be4bcca71e7d9848,trial055_mlp_h12_b2_relu_lr2.7e-03_bs64,FINISHED,eggholder_n20000_k3_ss7_seed42_train,mlp,673.0,24243.33984375,24100.853515625,91248672.0,0.02163162309012048,0.1694965660572052,124322546.58755295,11.887072808320951
sweep-bukin-v3-ratio,4a365c394f34478db2804d522615cd15,trial115_fourier_h12_b1_f12_s2.2_lr1.7e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,22.78955841064453,60.56928634643555,115868.71875,0.05997113858023906,0.5596533417701721,1274.9171460060559,12.8
sweep-bukin-v3-ratio,4ae619b8f4a643c29a647f1cbf2ebfd0,trial059_fourier_h12_b1_f12_s10.4_lr6.8e-03_bs256,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,484.8332824707031,509.72735595703125,422949.65625,0.06586667734519802,0.2522246539592743,3493.3006452005698,12.8
sweep-franke-v3-ratio,4b344a80cd0343b79bd5771f83740af2,trial065_siren_h20_l3_w10_lr1.3e-04_bs32,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,9.507224604021758e-05,0.0001040199858834967,283.1281433105469,0.0021713377554462513,0.42963749170303345,9.328783594365082e-06,8.686210640608035
sweep-levy-v3-ratio,4b5d11c5d1124974ae5e110b42bd48d5,trial085_fourier_h12_b2_f20_s1.0_lr2.2e-02_bs256,FINISHED,levy_n20000_k3_ss6_seed42_train,fourier,1129.0,0.8178392648696899,1.335261344909668,2051.164306640625,0.050522221196035305,-0.618324875831604,0.882175657225435,7.085916740478299
sweep-ackley-v3-ratio,4e6bf91b70ae4b03b5bcab29806f2521,trial093_fourier_h12_b2_f24_s2.8_lr8.2e-03_bs256,FINISHED,ackley_n20000_k3_ss5_seed42_train,fourier,1225.0,0.041724372655153275,0.0574931763112545,1345.1024169921875,0.0168853618866389,0.8750180006027222,0.002478851631573814,6.530612244897959
sweep-ackley-v3-ratio,4e705dc656954fa28b411652538586be,trial041_fourier_h12_b2_f8_s1.0_lr6.6e-03_bs256,FINISHED,ackley_n20000_k3_ss5_seed42_train,fourier,841.0,0.05936034396290779,0.060365550220012665,1277.858642578125,0.02568567813940091,0.7990604639053345,0.003773146931225359,9.512485136741974
sweep-franke-v3-ratio,4eae370705064b658676060510871261,trial030_siren_h28_l2_w36_lr2.6e-05_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,925.0,0.00011841257219202816,0.00011094156798208132,15328.58203125,0.000773380653323863,0.24560178816318512,3.152591265128287e-05,8.64864864864865
sweep-eggholder-v3-ratio,4ed8a2cd3912439bae6aadd7b3aa3466,trial063_mlp_h12_b2_relu_lr2.0e-03_bs64,FINISHED,eggholder_n20000_k3_ss7_seed42_train,mlp,673.0,30570.51171875,30565.84375,52263020.0,0.05002216296556575,-0.3514259457588196,167446048.77996135,11.887072808320951
sweep-bukin-v3-ratio,4fd703e046b24dddb8611a674828f729,trial128_fourier_h12_b1_f12_s2.7_lr1.3e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,10.731942176818848,11.692366600036621,144542.296875,0.016803913858424356,-0.3861578702926636,699.60540753339,12.8
sweep-bukin-v3-ratio,50536793eb474f7ab078708ce8c79e90,trial180_fourier_h12_b1_f16_s1.6_lr2.7e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,721.0,12.462661743164062,30.407135009765625,75588.7109375,0.0309974787756046,0.9497713446617126,1840.4926763811434,11.095700416088766
sweep-ackley-v3-ratio,52dc7faf4b6a4abd8481385ee4a7cf73,trial031_fourier_h12_b2_f8_s1.1_lr4.7e-03_bs256,FINISHED,ackley_n20000_k3_ss5_seed42_train,fourier,841.0,0.06535161286592484,0.06902213394641876,1282.396728515625,0.02052684430639349,-0.13394074141979218,0.000813896807704604,9.512485136741974
sweep-peaks-v3-ratio,537dfb091a78425baac7a354fef1a5e6,trial002_fourier_h12_b2_f8_s3.6_lr3.1e-04_bs128,FINISHED,peaks_n20000_k3_ss5_seed42_train,fourier,841.0,1.8848620653152466,1.9953662157058716,1606.52783203125,0.10275727799833329,0.08082343637943268,0.0452116069598032,9.512485136741974
sweep-eggholder-v3-ratio,53b1b3e0ca9542bda0f8458562fb04c5,trial028_fourier_h24_b0_f8_s12.0_lr3.0e-04_bs128,FINISHED,eggholder_n20000_k3_ss7_seed42_train,fourier,433.0,91395.2265625,86538.171875,5393.60107421875,1.2374319546944414,0.07492142170667648,3613.9387999918654,18.475750577367204
sweep-bukin-v3-ratio,5522f7b49fa64d1baf48118faf3904b5,trial176_fourier_h12_b1_f16_s1.2_lr2.8e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,721.0,11.617012977600098,16.00165557861328,131543.984375,0.02378144553190875,-0.405097633600235,1247.9089305295824,11.095700416088766
sweep-peaks-v3-ratio,5675030e0acf42f5986170b88eae048d,trial017_siren_h20_l3_w26_lr1.0e-04_bs128,FINISHED,peaks_n20000_k3_ss5_seed42_train,siren,921.0,0.004405644256621599,0.004954550415277481,93575.125,0.0015636715990687846,0.47810497879981995,0.010237998674221867,8.686210640608035
sweep-bukin-v3-ratio,5abd50bebba34a1384b8411077a72474,trial135_fourier_h12_b1_f12_s1.5_lr2.5e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,111.33145904541016,122.33317565917969,272590.96875,0.03331169793689337,-0.6176185607910156,4381.504797751953,12.8
sweep-eggholder-v3-ratio,5b670bf2fae34a4ebf9152af1c79f1ce,trial032_fourier_h24_b0_f8_s11.9_lr4.3e-04_bs128,FINISHED,eggholder_n20000_k3_ss7_seed42_train,fourier,433.0,86142.7734375,81195.5859375,11855.5751953125,1.765869247757858,-0.23349466919898987,12831.976955489443,18.475750577367204
sweep-eggholder-v3-ratio,5c723a44252943989e031857e8db9fb8,trial038_fourier_h12_b0_f32_s15.1_lr8.8e-04_bs128,FINISHED,eggholder_n20000_k3_ss7_seed42_train,fourier,793.0,72410.3125,69542.9765625,22136.740234375,1.793857818662859,0.07345651835203171,23153.623029213573,10.08827238335435
sweep-franke-v3-ratio,5c7f1bf9d4d447cba81ec9821518e0df,trial071_siren_h20_l3_w10_lr1.6e-04_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,9.323511767433956e-05,0.00010510440188227221,672.2713012695312,0.0011448397701176497,0.6360946893692017,5.900503079780469e-06,8.686210640608035
sweep-ackley-v3-ratio,5c919e25beb74e9fb0b454406603f46b,trial086_fourier_h12_b2_f32_s21.8_lr9.4e-03_bs256,FINISHED,ackley_n20000_k3_ss5_seed42_train,fourier,1417.0,6.297347068786621,7.887104034423828,1129.179443359375,0.06021862518764219,0.6050145626068115,0.07140618661386514,5.6457304163726185
sweep-bukin-v3-ratio,5d4e8fc053fc4e7e91218bd09795e71d,trial126_fourier_h12_b1_f12_s2.1_lr1.5e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,83.2118911743164,92.82560729980469,77690.6953125,0.035423305062056334,-0.5361639261245728,2459.2439730253436,12.8
sweep-franke-v3-ratio,5e079f90c37c4c469e7aa3afb3b6c702,trial024_siren_h20_l4_w34_lr2.3e-04_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,1341.0,0.0005234614363871515,0.0007103225216269493,6811.79150390625,0.0037568248096325565,0.2573623061180115,0.00010691512206071475,5.965697240865026
sweep-franke-v3-ratio,5e1e45162b0e4e15aa6bb20798ee07fe,trial017_siren_h20_l3_w26_lr1.0e-04_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,0.00013775244588032365,0.0001401737390551716,6436.85546875,0.00101638653939471,0.19152727723121643,2.7227680440870202e-05,8.686210640608035
