Title
A Survey of Multi-task Learning in Natural Language Processing: Regarding Task Relatedness and Training Methods
Competence-based Curriculum Learning for Neural Machine Translation
Curriculum Learning via Transitional Objective Learning in Automatic Speech Recognition
Curriculum Learning: A Survey
Curriculum learning
Efficient Knowledge Distillation via Curriculum Extraction
From Baby Steps to Leapfrog: How “Less is More” in Unsupervised Dependency Parsing
GradNorm: Gradient Normalization for Adaptive Loss Balancing in Deep Multitask Networks
Learning and development in neural networks: the importance of starting small
Learning to Execute
Learning to Reweight Examples for Robust Deep Learning
Meta Learning for Natural Language Processing: A Survey
Meta-Learning in Neural Networks: A Survey
Meta-learning Approaches for Few-Shot Learning: A Survey of Recent Advances
MetaWeighting: Learning to Weight Tasks in Multi-Task Learning
Reverse Curriculum Generation for Reinforcement Learning
Visualizing and Understanding Curriculum Learning for Long Short-Term Memory Networks
