"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hierarchical Curriculum Learning for Dysarthric Speech Recognition via Multi-Level Knowledge Distillation","I. -T. Hsieh; C. -H. Wu","Graduate Program of Multimedia Systems and Intelligent Computing, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan","IEEE Transactions on Audio, Speech and Language Processing","21 Aug 2025","2025","33","","3553","3567","Automatic speech recognition (ASR) for dysarthric speech faces three major challenges: (1) data scarcity, (2) variability in speech patterns, and (3) imbalanced performance across different speech intelligibility groups. To primarily address the performance imbalance, we propose a Hierarchical Curriculum Learning (HCL) framework consisting of: (a) a hierarchical architecture that trains separate ASR models for each intelligibility group to reduce cross-group interference, (b) a multi-level knowledge distillation strategy that progressively transfers knowledge from higher to lower intelligibility groups, and (c) a fusion model that integrates predictions from group-specific ASR models. To further tackle data scarcity and variability, the proposed method incorporates meta-learning, intelligibility classification, and data augmentation tailored for dysarthric speech. Unlike prior work that adopts uniform training strategies, our approach explicitly models inter-group differences and enables effective knowledge sharing. Experiments on the UASpeech and Torgo corpus show that the proposed method achieves average WERs of 19.44% and 6.12%, respectively, with consistent and statistically significant improvements across all intelligibility groups.","2998-4173","","10.1109/TASLPRO.2025.3597438","National Science and Technology Council(grant numbers:114-2221-E-006-056-MY3); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11122259","Automatic speech recognition (ASR);dysarthric speech;curriculum learning;knowledge distillation","Training;Speech recognition;Adaptation models;Standards;Data models;Predictive models;Metalearning;Data mining;Artificial intelligence;Training data","","","","59","IEEE","11 Aug 2025","","","IEEE","IEEE Journals"
"Transfer Reinforcement Learning Across Homotopy Classes","Z. Cao; M. Kwon; D. Sadigh","Department of Computer Science, Stanford University, Stanford, CA, USA; Department of Computer Science, Stanford University, Stanford, CA, USA; Department of Computer Science, Stanford University, Stanford, CA, USA",IEEE Robotics and Automation Letters,"18 Mar 2021","2021","6","2","2706","2713","The ability for robots to transfer their learned knowledge to new tasks—where data is scarce—is a fundamental challenge for successful robot learning. While fine-tuning has been well-studied as a simple but effective transfer approach in the context of supervised learning, it is not as well-explored in the context of reinforcement learning. In this work, we study the problem of fine-tuning in transfer reinforcement learning when tasks are parameterized by their reward functions, which are known beforehand. We conjecture that fine-tuning drastically underperforms when source and target trajectories are part of different homotopy classes: We demonstrate that fine-tuning policy parameters across homotopy classes compared to fine-tuning within a homotopy class requires more interaction with the environment, and in certain cases is impossible. We propose a novel fine-tuning algorithm, Ease-In-Ease-Out fine-tuning, that consists of a relaxing stage and a curriculum learning stage to enable transfer learning across homotopy classes. Finally, we evaluate our approach on several robotics-inspired simulated environments and empirically verify that the Ease-In-Ease-Out fine-tuning method can successfully fine-tune in a sample-efficient way compared to existing baselines.","2377-3766","","10.1109/LRA.2021.3057050","National Science Foundation(grant numbers:2006388); Defense Advanced Research Projects Agency; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9345955","Intelligent systems;learning systems;learning (artificial intelligence)","Task analysis;Trajectory;Robots;Reinforcement learning;Measurement;Transfer learning;Supervised learning","","14","","47","IEEE","3 Feb 2021","","","IEEE","IEEE Journals"
"Agent Coordination in Air Combat Simulation using Multi-Agent Deep Reinforcement Learning","J. Källström; F. Heintz","Dept. of Computer and Information Science, Linköping University, Linköping, Sweden; Dept. of Computer and Information Science, Linköping University, Linköping, Sweden","2020 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","14 Dec 2020","2020","","","2157","2164","Simulation-based training has the potential to significantly improve training value in the air combat domain. However, synthetic opponents must be controlled by high-quality behavior models, in order to exhibit human-like behavior. Building such models by hand is recognized as a very challenging task. In this work, we study how multi-agent deep reinforcement learning can be used to construct behavior models for synthetic pilots in air combat simulation. We empirically evaluate a number of approaches in two air combat scenarios, and demonstrate that curriculum learning is a promising approach for handling the high-dimensional state space of the air combat domain, and that multi-objective learning can produce synthetic agents with diverse characteristics, which can stimulate human pilots in training.","2577-1655","978-1-7281-8526-2","10.1109/SMC42975.2020.9283492","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9283492","agent-based modeling;intelligent agents;machine learning;multi-agent systems","Training;Adaptation models;Atmospheric modeling;Reinforcement learning;Task analysis;Tuning;Context modeling","","14","","30","IEEE","14 Dec 2020","","","IEEE","IEEE Conferences"
"Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction","X. Qin; X. Wang; J. Yan","School of Computer Science & School of Artificial Intelligience, Shanghai Jiao Tong University; School of Computer Science & School of Artificial Intelligience, Shanghai Jiao Tong University; School of Computer Science & School of Artificial Intelligience, Shanghai Jiao Tong University",2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"13 Aug 2025","2025","","","20492","20501","Multi-task learning (MTL) can leverage shared knowledge across tasks to improve data efficiency and generalization performance, and has been applied in various scenarios. However, task imbalance remains a major challenge for existing MTL methods. While the prior works have attempted to mitigate inter-task unfairness through loss-based and gradient-based strategies, they still exhibit imbalanced performance across tasks on common benchmarks. This key observation motivates us to consider performance-level information as an explicit fairness indicator, which can precisely reflect the current optimization status of each task, and accordingly help to adjust the gradient aggregation process. Specifically, we utilize the performance variance among tasks as the fairness indicator and introduce a dynamic weighting strategy to gradually reduce the performance variance. Based on this, we propose PIVRG, a novel performance-informed variance reduction gradient aggregation approach. Extensive experiments show that PIVRG achieves SOTA performance across various benchmarks, spanning both supervised learning and reinforcement learning tasks with task numbers ranging from 2 to 40. Results from the ablation study also show that our approach can be integrated into existing methods, significantly enhancing their performance while reducing the performance variance among tasks, thus achieving fairer optimization.","2575-7075","979-8-3315-4364-8","10.1109/CVPR52734.2025.01908","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11092442","","Computer vision;Supervised learning;Reinforcement learning;Benchmark testing;Multitasking;Distance measurement;Pattern recognition;Optimization","","","","43","IEEE","13 Aug 2025","","","IEEE","IEEE Conferences"
"The Game Boy Learning Environment","E. Fazzari; D. Romano; F. Falchi; C. Stefanini","BioRobotic Institute, Sant'Anna School of Advanced Studies, Pontendera, Italy; BioRobotic Institute, Sant'Anna School of Advanced Studies, Pontendera, Italy; BioRobotic Institute, Sant'Anna School of Advanced Studies, Pontendera, Italy; BioRobotic Institute, Sant'Anna School of Advanced Studies, Pontendera, Italy",IEEE Transactions on Games,"","2025","PP","99","1","10","In this article, we introduce the Game Boy Learning Environment (GLE), an innovative suite based on Nintendo Game Boy games, crafted to advance and evaluate deep reinforcement learning algorithms on rich and varied gameplay tasks. GLE offers a comprehensive selection of eleven Game Boy environments, spanning nine distinct titles. These environments represent a significant leap in complexity compared to previous endeavors, like the Arcade Learning Environment, presenting challenges for reinforcement learning like intricate long-term planning, strategic foresight, and hierarchical decision-making, posing substantial difficulties even for proficient human players. We delineate the spectrum of available environments and furnish initial baseline results obtained through the development and assessment of intelligent agents, employing established AI methodologies to address individual levels or subtasks within these environments. All software is openly accessible to the public via https://github.com/edofazza/GameBoyLearningEnvironment.","2475-1510","","10.1109/TG.2025.3575527","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11020792","Deep Reinforcement Learning;Game Boy;Learning Environments;Artificial Intelligence","Games;Artificial intelligence;Video games;Training;Decision making;Visualization;Navigation;Robots;Q-learning;Observability","","","","","IEEE","2 Jun 2025","","","IEEE","IEEE Early Access Articles"
"An Efficient Planning Method for Autonomous Navigation of a Wheeled-Robot based on Deep Reinforcement Learning","A. S. Sadr; M. S. Khojasteh; H. Malek; A. Salimi-Badr","Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran; Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran; Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran; Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran",2022 12th International Conference on Computer and Knowledge Engineering (ICCKE),"29 Nov 2022","2022","","","136","141","In this paper, a planning method to autonomously navigate a wheeled-robot based on deep reinforcement learning is proposed. The planning algorithm aims at reaching a predetermined target configuration while avoiding obstacles. It is assumed that the robot chassis is differential-drive and it is equipped with multiple distance sensors to perceive the environment and Global Positioning System (GPS) for localization. A Deterministic Actor-Critic model is designed to navigate the robot in an environment including multiple obstacles. Since navigation is a multi-objective optimization problem, a novel reward function considering different contradicted criteria including reaching the target and avoiding the obstacles is proposed in this paper. To improve the performance and convergence of the learning method, a gradual learning method is applied to first learn target reaching and next obstacle avoidance. The effect of the proposed reward function is compared with some other reward functions to show its effectiveness.","2643-279X","978-1-6654-7613-3","10.1109/ICCKE57176.2022.9960115","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9960115","Robot Navigation;Planning;Multi-Objective Optimization;Deep Reinforcement Learning (DRL);Curriculum Learning","Learning systems;Visualization;Navigation;Reinforcement learning;Mathematical models;Planning;Mobile robots","","3","","20","IEEE","29 Nov 2022","","","IEEE","IEEE Conferences"
"Multi-UAV Formation Control with Static and Dynamic Obstacle Avoidance via Reinforcement Learning","Y. Xie; C. Yu; H. Zang; F. Gao; W. Tang; J. Huang; J. Chen; B. Xu; Y. Wu; Y. Wang","Tsinghua University, Beijing, China; Tsinghua University, Beijing, China; Tsinghua University, Beijing, China; Tsinghua University, Beijing, China; Tsinghua University, Beijing, China; Tsinghua University; Tsinghua University, Beijing, China; Tsinghua University; Tsinghua University, Beijing, China; Tsinghua University, Beijing, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","20410","20417","This paper tackles the challenging task of maintaining formation among multiple unmanned aerial vehicles (UAVs) while avoiding both static and dynamic obstacles during directed flight. The complexity of the task arises from its multi-objective nature, the large exploration space, and the sim-to-real gap. To address these challenges, we propose a two-stage reinforcement learning (RL) pipeline. In the first stage, we randomly search for a reward function that balances key objectives: directed flight, obstacle avoidance, formation maintenance, and zero-shot policy deployment. The second stage applies this reward function to more complex scenarios and utilizes curriculum learning to accelerate policy training. Additionally, we incorporate an attention-based observation encoder to improve formation maintenance and adaptability to varying obstacle densities. Experimental results in both simulation and real-world environments demonstrate that our method outperforms both planning-based and RL-based baselines in terms of collision-free rates and formation maintenance across static, dynamic, and mixed obstacle scenarios. Ablation studies further confirm the effectiveness of our curriculum learning strategy and attention-based encoder. Animated demonstrations are available at: https://sites.google.com/view/uav-formation-with-avoidance/.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246743","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246743","","Training;Pipelines;Reinforcement learning;Search problems;Formation control;Maintenance;Space exploration;Vehicle dynamics;Collision avoidance;Intelligent robots","","","","40","IEEE","27 Nov 2025","","","IEEE","IEEE Conferences"
"Adaptive Service Function Chain Migration in Satellite–Terrestrial Integrated Networks","Y. Zhang; J. Zhao","School of Computer Science, Fudan University, Shanghai, China; School of Computer Science, Fudan University, Shanghai, China",2025 IEEE/CIC International Conference on Communications in China (ICCC),"11 Sep 2025","2025","","","1","6","In satellite-terrestrial integrated networks (STINs), dynamically migrating service function chains (SFCs) across heterogeneous nodes is essential to maintain quality of service under changing link and node conditions. Conventional heuristics or static optimization either incur excessive migration overhead or fail to adapt to network volatility. In this paper, we propose DWAR (Dynamic Weighting–based Adaptive Reinforcement), a Proximal Policy Optimization (PPO)–driven framework that incorporates a self-attention module to dynamically adjust multi-objective reward weights—covering end-to-end delay, migration cost, energy consumption, and load balancing—based on real-time network state. We evaluate DWAR against four baselines (ILP-based SOLVER, MSDF, PAVM, and GREEDY) in a 1000-node STIN simulator under four stress scenarios: baseline, link degradation, node overload, and traffic burst. Results show that DWAR achieves 90–95% of the optimal SOLVER delay while reducing migration cost and energy by 15–20%, and maintaining robust load balance across all scenarios. These findings demonstrate DWAR’s practical efficacy for real-time SFC management in dynamic, large-scale STINs.","2377-8644","979-8-3315-4444-7","10.1109/ICCC65529.2025.11148775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11148775","Service Function Chain;SFC Migration;Satellite-Terrestrial Integrated Network;Reinforcement Learning;Proximal Policy Optimization;Multi-Objective Optimization","Costs;Service function chaining;Heuristic algorithms;Reinforcement learning;Space-air-ground integrated networks;Robustness;Real-time systems;Delays;Optimization;Stress","","","","15","IEEE","11 Sep 2025","","","IEEE","IEEE Conferences"
"Curriculum Learning Influences the Emergence of Different Learning Trends","R. Mir; P. Ojaghi; A. Erwin; A. Marjaninejad; M. Wehner; F. J. Valero-Cuevas","Department of Biomedical Engineering, University of Southern California, Los Angeles, California, USA; Computer Science and Engineering Department, University of California Santa Cruz, Santa Cruz, California, USA; Department of Biomedical Engineering, University of Southern California, Los Angeles, California, USA; Department of Biomedical Engineering, University of Southern California, Los Angeles, California, USA; Mechanical Engineering Department, University of Wisconsin-Madison, Madison, Wisconsin, USA; Department of Biomedical Engineering, University of Southern California, Los Angeles, California, USA",2024 IEEE-RAS 23rd International Conference on Humanoid Robots (Humanoids),"3 Dec 2024","2024","","","521","527","Reinforcement learning (RL) algorithms are traditionally evaluated and compared by their learning trends (i.e., average performance) over trials and time. However, the presence of a single learning trend in a curriculum is, in fact, an assumption. To test this assumption, we used the performance of Proximal Policy Optimization (PPO) under five different curricula aimed at learning dynamic in-hand manipulation tasks. The curricula consisted of different combinations of rewards for lifting and rotating a 5g ball with a three-finger hand with the palm facing down. Mining the performance of all 60 individual trials as time series, we find there are learning trends distinct from the average. We conclude researchers should look beyond the average learning trends when evaluating curriculum learning to fully identify, appreciate, and evaluate the progression of autonomous learning of multi-objective tasks.","2164-0580","979-8-3503-7357-8","10.1109/Humanoids58906.2024.10769918","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10769918","","5G mobile communication;Heuristic algorithms;Time series analysis;Humanoid robots;Clustering algorithms;Reinforcement learning;Market research;Trajectory;Manipulator dynamics;Optimization","","1","","31","IEEE","3 Dec 2024","","","IEEE","IEEE Conferences"
"Multiple Access via Curriculum Multitask HAPPO Based on Dynamic Heterogeneous Wireless Network","M. Han; Z. Chen; X. Sun","School of Electronics and Communication Engineering, Sun Yat-sen University, Guangzhou, China; School of Electronics and Communication Engineering, Sun Yat-sen University, Guangzhou, China; School of Electronics and Communication Engineering, Sun Yat-sen University, Guangzhou, China",IEEE Internet of Things Journal,"25 Oct 2024","2024","11","21","35073","35085","With the development of wireless communication systems, the large-scale deployment of Internet of Things (IoT) devices becomes popular. Due to limited energy, the multiple access approaches without carrier sensing requirement are widely deployed in IoT devices, including Aloha and time-division multiple access (TDMA). However, these approaches encounter the transmission inefficiency issue, especially in dynamic heterogeneous networks comprising nodes with diverse protocols and varying numbers and transmission configurations over time. In this article, combining curriculum learning (CL) and multitask reinforcement learning (MTRL), we propose the curriculum multitask heterogeneous-agent proximal policy optimization (CMHA) algorithm to improve the throughput performance while guaranteeing fairness in dynamic heterogeneous networks. We introduce the elastic weight consolidation (EWC) in the CMHA to further enhance generalization capacity, which can better address the challenging MTRL problem in dynamic heterogeneous networks. Combining the monotonic improvement feature of heterogeneous-agent proximal policy optimization (HAPPO) and the generalization capacity of EWC, the proposed CMHA can achieve a nearly monotonic improvement in all possible scenarios. The simulations show that the CMHA algorithm 1) has sufficient generalization capacity for massive scenarios in dynamic heterogeneous networks; 2) can significantly enhance the network throughput; and 3) can guarantee the fairness of both agents and heterogeneous nodes.","2327-4662","","10.1109/JIOT.2024.3432530","National Key Research and Development Program of China(grant numbers:2023YFB2904100); Guangdong Basic and Applied Basic Research Foundation(grant numbers:2024A1515012015); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10606438","Curriculum learning (CL);multiagent reinforcement learning (MARL);multiple access;multitask learning (MTL)","Task analysis;Heterogeneous networks;Multitasking;Internet of Things;Convergence;Time division multiple access;Vehicle dynamics","","4","","36","IEEE","22 Jul 2024","","","IEEE","IEEE Journals"
"Hyperparameter Auto-Tuning in Self-Supervised Robotic Learning","J. Huang; J. Rojas; M. Zimmer; H. Wu; Y. Guan; P. Weng","School of Electromechanical Engineering, Guangdong University of Technology, Guangzhou, China; School of Mechanical and Automation Engineering, The Chinese University of Hong Kong, Hong Kong, China; UM-SJTU Joint Institute, Shanghai Jiao Tong University, Shanghai, China; Institute of Intelligent Manufacturing, Guangdong Academy of Sciences, Guangzhou, China; School of Electromechanical Engineering, Guangdong University of Technology, Guangzhou, China; UM-SJTU Joint Institute, Shanghai Jiao Tong University, Shanghai, China",IEEE Robotics and Automation Letters,"24 Mar 2021","2021","6","2","3537","3544","Policy optimization in reinforcement learning requires the selection of numerous hyperparameters across different environments. Fixing them incorrectly may negatively impact optimization performance leading notably to insufficient or redundant learning. Insufficient learning (due to convergence to local optima) results in under-performing policies whilst redundant learning wastes time and resources. The effects are further exacerbated when using single policies to solve multi-task learning problems. Observing that the Evidence Lower Bound (ELBO) used in Variational Auto-Encoders correlates with the diversity of image samples, we propose an auto-tuning technique based on the ELBO for self-supervised reinforcement learning. Our approach can auto-tune three hyperparameters: the replay buffer size, the number of policy gradient updates during each epoch, and the number of exploration steps during each epoch. We use a state-of-the-art self-supervised robot learning framework (Reinforcement Learning with Imagined Goals (RIG) using Soft Actor-Critic) as baseline for experimental verification. Experiments show that our method can auto-tune online and yields the best performance at a fraction of the time and computational resources. Code, video, and appendix for simulated and real-robot experiments can be found at the project page www.JuanRojas.net/autotune.","2377-3766","","10.1109/LRA.2021.3064509","Key R&D Program of Guangdong Province(grant numbers:2019B090915001,2019A050510040,2017B050506008); National Natural Science Foundation of China(grant numbers:61950410758,51975126,51905105,61872238); Guangzhou Basic and Applied Basic Research(grant numbers:202002030237); Shanghai NSF(grant numbers:19ZR1426700); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9372868","Deep learning methods;developmental robotics;reinforcement learning;representation learning;visual learning","Reinforcement learning;Entropy;Robots;Convergence;Visualization;Task analysis;Optimization","","10","","31","IEEE","8 Mar 2021","","","IEEE","IEEE Journals"
"Time-Constrained Actor-Critic Reinforcement Learning for Concurrent Order Dispatch in On-Demand Delivery","S. Wang; B. Guo; Y. Ding; G. Wang; S. He; D. Zhang; T. He","Key Laboratory of Computer Network and Information Integration, School of Computer Science and Engineering, Southeast University, Nanjing, China; Key Laboratory of Computer Network and Information Integration, School of Computer Science and Engineering, Southeast University, Nanjing, China; Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA; Department of Computer Science, Florida State University, Tallahassee, FL, USA; Department of Computer Science and Engineering, University of Connecticut, Storrs, CT, USA; Department of Computer Science, Rutgers University, Piscataway, NJ, USA; Key Laboratory of Computer Network and Information Integration, School of Computer Science and Engineering, Southeast University, Nanjing, China",IEEE Transactions on Mobile Computing,"2 Jul 2024","2024","23","8","8175","8192","On-demand delivery has experienced rapid growth in recent years, revolutionizing people's lifestyles with its timeliness and convenience. The order dispatch process in on-demand delivery is concurrent, wherein couriers continuously accept new orders and deliver them to customers within strict time constraints and dynamic demand and supply. Most of the existing order dispatch mechanisms are designed for independent dispatch or concurrent dispatch without strict deadlines, rendering them unsuitable for real-time concurrent dispatch in on-demand delivery. To address the challenge, we propose a Time-Constrained Actor-Critic Reinforcement learning based concurrent dispatch system called TCAC-Dispatch to reduce the overdue rate and enhance the long-term revenue. Specifically, we first design a deep matching network (DMN) with a variable action space, which integrates both states embedding (including route behaviors encoding) and actions’ embedding into a long-term value for dispatching decisions. Additionally, we design a time-constrained action pruning module to ensure compliance with time constraints. Then we utilize the Actor-Critic framework to tackle the concurrent dispatch considering strict time constraints and stochastic demand-supply. To further optimize the efficiency and delivery resource utilization, we propose an extension of TCAC (i.e., TCAC+), which consists of (i) a learning-based order service time prediction module to determine whether to relax the deadline of some orders; and (ii) a multi-critic framework to optimize concurrent order dispatch with both tight deadlines and relaxed deadlines using dynamic weighting mechanism. We evaluate the TCAC-Dispatch with one-month data involved with 36.48 million orders and 42,000 couriers collected from Eleme, one of the largest on-demand delivery companies in China. Experiments are conducted on a data-driven emulator deployed on the development environment of Eleme and the results demonstrate that our method outperforms state-of-the-art baselines with various metrics in both tight deadline and mixed deadline scenarios.","1558-0660","","10.1109/TMC.2023.3342815","Science and Technology Innovation 2030-Major Project(grant numbers:2021ZD0114202); National Natural Science Foundation of China(grant numbers:62272098); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10360317","On-demand delivery;time-constrained delivery;concurrent order dispatching;reinforcement learning","Dispatching;Real-time systems;Time factors;Mobile computing;Computer science;Feature extraction;Reinforcement learning","","3","","51","IEEE","14 Dec 2023","","","IEEE","IEEE Journals"
"A real-time decision-making and motion planning framework with collision avoidance for intelligent vehicle","M. Zhao; H. Gao; X. Ren; X. Zhang; F. Liang; Y. Li; H. Jin; S. Zhang; K. Li; D. Wang; B. Cheng","Department of Automation, School of Information Science and Technology, University of Science and Technology of China, Hefei, China; Department of Automation, School of Information Science and Technology, and Institute of Advanced Technology, University of Science and Technology of China, Hefei, China; State Key Laboratory of Intelligent Vehicle Safety Technology, Chongqing Changan Automobile Company Ltd., Chongqing, China; State Key Laboratory of Intelligent Vehicle Safety Technology, Chongqing Changan Automobile Company Ltd., Chongqing, China; State Key Laboratory of Intelligent Vehicle Safety Technology, Chongqing Changan Automobile Company Ltd., Chongqing, China; College of Information and Communication, National University of Defense Technology, Wuhan, China; National Center of Engineering and Technology for Vehicle Driving Safety, Hefei, China; National Center of Engineering and Technology for Vehicle Driving Safety, Hefei, China; School of Vehicle and Mobility, Tsinghua University, Beijing, China; School of Electrical and Electronic Engineering, Nanyang Technological University (NTU), Singapore; School of Vehicle and Mobility, Tsinghua University, Beijing, China",IEEE Transactions on Vehicular Technology,"","2025","PP","99","1","12","Safety and real-time performance are key requirements for decision-making and motion planning in intelligent vehicles. However, existing learning-based methods lack interpretability in terms of safety, making it difficult to effectively avoid collision risks. Additionally, rule-based approaches face challenges such as planning failures and limited real-time performance. To address these issues, an integrated framework for real-time decision-making and motion planning focused on collision avoidance is proposed. First, in terms of safety, a vehicle motion-based safety assessment module (VMSA) is developed to provide interpretable safety guarantees. This ensures continuous checking and timely adjustment of lane change gap, effectively preventing planning failures. Second, in terms of real-time performance, a motion planning module based on multi-objective deep reinforcement learning (DRL) and transfer learning is designed to optimize motion trajectory generation. Additionally, a DRL policy based on global traffic features is proposed to optimize lane selection, and curriculum learning is employed to enhance training stability. Simulation results show that, compared with other methods, the proposed framework enables real-time decision-making while effectively improving driving efficiency and safety.","1939-9359","","10.1109/TVT.2025.3616359","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11186130","Motion planning;collision avoidance;real-time;intelligent vehicle;deep reinforcement learning","Planning;Safety;Real-time systems;Decision making;Trajectory planning;Trajectory;Collision avoidance;Learning systems;Autonomous vehicles;Roads","","","","","IEEE","6 Oct 2025","","","IEEE","IEEE Early Access Articles"
"Reinforcement Learning-Based Whole Body Skill Behavior Generation and Control for Humanoid Robots","L. Li; Q. Zhang; B. Xing; H. Chai; Y. Yin; B. Liu","School of Electrical Engineering, University of Jinan, Jinan, China; School of Electrical Engineering, University of Jinan, Jinan, China; China North Vehicle Research Institute, Beijing, China; School of Control Science and Engineering, Shandong University, Jinan, China; Collective Intelligence & Collaboration Laboratory, Beijing, China; School of Electrical Engineering, University of Jinan, Jinan, China","2025 IEEE 15th International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)","24 Sep 2025","2025","","","462","467","Aiming at the problems of low efficiency of motor skill acquisition and insufficient stability of dynamic control for humanoid robots, this paper proposes a framework of whole body skill behavior generation and control method for humanoid robots based on reinforcement learning. Firstly, virtual multimodal expert trajectories are generated by human motion reorientation in 3D animation engine, and physical constraint optimization model is constructed by combining with Fourier potential dynamics to generate high-quality action datasets, which solves the problem of lack of authenticity of animation engine data dynamics; Then the Actor-Critic dual-branch network architecture and composite reward function are constructed to integrate ontology perception and trajectory tracking error, and the convergence speed and stabilization ability of the reinforcement learning strategy are improved through the multi-objective dynamic weighting mechanism. Finally, the accuracy of the human-robot action mapping and the stability of the action strategies are verified in the Mujoco simulation platform. The experimental results show that the method can realize stable and accurate humanoid robot action imitation, which provides a new idea for humanoid robot action trajectory generation and motion control.","2642-6633","979-8-3315-9109-0","10.1109/CYBER67662.2025.11168186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11168186","","Accuracy;Dynamics;Humanoid robots;Reinforcement learning;Animation;Stability analysis;Trajectory;Motion control;Engines;Convergence","","","","15","IEEE","24 Sep 2025","","","IEEE","IEEE Conferences"
"V-Pilot: A Velocity Vector Control Agent for Fixed-Wing UAVs from Imperfect Demonstrations","X. Gong; D. Feng; K. Xu; X. Zhou; S. Zheng; B. Ding; H. Wang","College of Computer Science and Technology, National University of Defense Technology, Changsha, Hunan, China; College of Computer Science and Technology, National University of Defense Technology, Changsha, Hunan, China; College of Computer Science and Technology, National University of Defense Technology, Changsha, Hunan, China; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, Hunan, China; Qiyuan Lab, Beijing, China; College of Computer Science and Technology, National University of Defense Technology, Changsha, Hunan, China; College of Computer Science and Technology, National University of Defense Technology, Changsha, Hunan, China",2025 IEEE International Conference on Robotics and Automation (ICRA),"2 Sep 2025","2025","","","11538","11545","This paper addresses the challenge of Velocity Vector Control (VVC) for fixed-wing UAVs using Reinforcement Learning (RL) in the presence of imperfect demonstrations. The multi-objective and long-horizon nature of VVC introduces significant spatial and temporal complexities, complicating RL's exploration. While demonstration-based RL methods can help mitigate exploration challenges, their effectiveness is often limited by the quality of the provided demonstrations. To tackle this, we propose V-Pilot, a novel approach that integrates: (1) a controller equipped with a control law model to reduce action oscillation, thus alleviating temporal exploration issues, and (2) a VVC-specific training workflow for iterative policy refinement and demonstration quality improvement. This framework is designed to enhance the performance of demonstration-based RL under imperfect demonstrations. We evaluate V-Pilot on the fixed-wing UAV RL environment, VVCGym. Experimental results demonstrate that V-Pilot outperforms PID and Behavioral Cloning across multiple performance metrics.","","979-8-3315-4139-2","10.1109/ICRA55743.2025.11128340","National Natural Science Foundation of China(grant numbers:62306325); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11128340","","Training;Cloning;Reinforcement learning;Autonomous aerial vehicles;Performance metrics;Complexity theory;Iterative methods;Robotics and automation;Oscillators","","","","52","IEEE","2 Sep 2025","","","IEEE","IEEE Conferences"
